"id","sex","smoking","alcohol","people_main","political","personal_main"
"4936354","male","not specified","not specified","not specified","not specified","not specified"
"1035113","female","not specified","not specified","not specified","not specified","not specified"
"8718526","female","not specified","not specified","not specified","not specified","not specified"
"9936643","male","not specified","not specified","not specified","not specified","not specified"
"2106725","female","not specified","not specified","not specified","Moderate","not specified"
"445885","female","not specified","not specified","not specified","not specified","not specified"
"1622051","male","not specified","not specified","not specified","not specified","not specified"
"1421154","female","not specified","not specified","not specified","not specified","not specified"
"2489411","male","not specified","not specified","not specified","not specified","not specified"
"3430843","female","not specified","not specified","not specified","not specified","not specified"
"2401368","female","not specified","not specified","not specified","not specified","not specified"
"9907352","male","not specified","not specified","not specified","not specified","not specified"
"1175707","male","very negative","very negative","intellect and creativity","Monarchist","not specified"
"4522745","female","not specified","not specified","not specified","not specified","not specified"
"1927827","male","not specified","not specified","not specified","not specified","not specified"
"7029135","female","not specified","not specified","not specified","Moderate","not specified"
"7558164","female","not specified","not specified","not specified","not specified","not specified"
"5145566","male","not specified","not specified","not specified","not specified","not specified"
"140269","male","not specified","not specified","not specified","not specified","not specified"
"7746156","male","not specified","not specified","not specified","not specified","not specified"
"1798083","female","not specified","not specified","not specified","not specified","not specified"
"3913571","male","not specified","not specified","not specified","not specified","not specified"
"5708751","female","not specified","not specified","not specified","not specified","not specified"
"4288474","male","not specified","not specified","not specified","not specified","not specified"
"1519572","male","not specified","not specified","not specified","not specified","not specified"
"8174745","female","not specified","not specified","not specified","Moderate","not specified"
"8120849","male","compromisable","negative","kindness and honesty","Moderate","not specified"
"302298","male","not specified","not specified","not specified","not specified","not specified"
"410367","female","not specified","not specified","not specified","not specified","not specified"
"2272009","female","not specified","not specified","not specified","not specified","not specified"
"4807402","female","not specified","not specified","not specified","not specified","not specified"
"6536368","female","not specified","not specified","not specified","not specified","not specified"
"7453015","female","not specified","not specified","not specified","not specified","not specified"
"1423812","female","not specified","not specified","not specified","not specified","not specified"
"3015636","female","not specified","not specified","not specified","not specified","not specified"
"3923660","female","not specified","not specified","not specified","not specified","not specified"
"5650084","male","not specified","not specified","not specified","not specified","not specified"
"6058499","female","not specified","not specified","not specified","not specified","not specified"
"6596475","male","not specified","not specified","not specified","not specified","not specified"
"8429598","female","not specified","not specified","not specified","not specified","not specified"
"2049526","male","not specified","not specified","not specified","not specified","not specified"
"3698097","female","not specified","not specified","not specified","not specified","not specified"
"3708725","female","not specified","not specified","not specified","not specified","not specified"
"510319","female","not specified","not specified","not specified","not specified","not specified"
"5964050","male","not specified","not specified","not specified","not specified","not specified"
"7923021","male","not specified","not specified","not specified","not specified","not specified"
"986147","male","not specified","not specified","not specified","not specified","not specified"
"7768955","male","not specified","not specified","not specified","Moderate","not specified"
"6101340","female","not specified","not specified","not specified","not specified","not specified"
"4309307","female","not specified","not specified","not specified","not specified","not specified"
"3515004","male","not specified","not specified","not specified","not specified","not specified"
"1940266","male","not specified","not specified","not specified","not specified","not specified"
"5332518","male","not specified","not specified","not specified","not specified","not specified"
"5439625","female","not specified","not specified","not specified","not specified","not specified"
"2944744","male","not specified","not specified","not specified","not specified","not specified"
"9412057","female","not specified","not specified","not specified","Socialist","not specified"
"9308263","male","not specified","not specified","not specified","not specified","not specified"
"8868579","male","not specified","not specified","not specified","not specified","not specified"
"8236270","female","not specified","not specified","not specified","not specified","not specified"
"9019959","female","not specified","not specified","not specified","not specified","not specified"
"690932","male","not specified","not specified","not specified","not specified","not specified"
"6152384","female","not specified","not specified","not specified","not specified","not specified"
"5683373","male","not specified","not specified","not specified","not specified","not specified"
"3448067","female","not specified","not specified","not specified","not specified","not specified"
"8151916","male","not specified","not specified","not specified","not specified","not specified"
"9519481","female","not specified","not specified","not specified","not specified","not specified"
"8436691","male","not specified","not specified","not specified","not specified","not specified"
"4518272","female","not specified","not specified","not specified","Moderate","not specified"
"789808","male","not specified","not specified","not specified","not specified","not specified"
"3498726","female","not specified","not specified","not specified","not specified","not specified"
"7541967","female","not specified","not specified","not specified","not specified","not specified"
"6521315","male","not specified","not specified","not specified","not specified","not specified"
"7178518","male","not specified","not specified","not specified","Monarchist","not specified"
"3405695","male","not specified","not specified","not specified","not specified","not specified"
"5910026","male","not specified","not specified","not specified","Moderate","not specified"
"3903938","female","not specified","not specified","not specified","not specified","not specified"
"6619541","female","not specified","not specified","not specified","not specified","not specified"
"7291382","female","not specified","not specified","not specified","not specified","not specified"
"1491875","male","not specified","not specified","not specified","not specified","not specified"
"2180773","male","not specified","not specified","not specified","Communist","not specified"
"3161419","male","not specified","not specified","not specified","not specified","not specified"
"3254627","male","not specified","not specified","not specified","not specified","not specified"
"9204880","male","not specified","not specified","not specified","not specified","not specified"
"9053742","male","not specified","not specified","not specified","not specified","not specified"
